OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2503518,Sample-Routine,Water,,2022-07-19,13:23:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC3,SC3 Spring Creek between fish hatcheries,,,,,40.8608000000,-77.8064000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962385976,Present Below Quantification Limit,as N,Ammonia,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00608A,21PA_WQX,Ammonia,,,,2022-07-19,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2503518/results/962385976/resdetectqntlmts,Lower Reporting Limit,.02,mg/L,,2023-01-04T14:12:04,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2515270,Sample-Routine,Water,,2022-09-27,09:37:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SCWAT,Spring Creek Water St discrete location,,,,,40.9006000000,-77.7975000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962340100,Present Below Quantification Limit,,Selenium,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01145H,21PA_WQX,Selenium,,,,2022-09-27,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2515270/results/962340100/resdetectqntlmts,Lower Reporting Limit,4.00,ug/L,,2023-01-04T14:05:14,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2496962,Sample-Routine,Water,,2022-06-13,12:03:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC3,SC3 Spring Creek between fish hatcheries,,,,,40.8608000000,-77.8064000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962376492,,,Osmotic pressure,,8,mosm/kg,,Final,,Actual,,,,,,,,,,,,,,,,,,,,82550,21PA_WQX,Osmotic Pressure,,,,2022-06-13,,,,,,,2023-01-04T14:10:41,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2468540,Sample-Routine,Water,,2022-01-12,14:53:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC3,SC3 Spring Creek between fish hatcheries,,,,,40.8608000000,-77.8064000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962359190,Present Below Quantification Limit,,Selenium,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01147H,21PA_WQX,Selenium,,,,2022-01-12,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2468540/results/962359190/resdetectqntlmts,Lower Reporting Limit,4.00,ug/L,,2023-01-04T14:07:49,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2468612,Sample-Routine,Water,,2022-01-13,10:30:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC4,SC4 Spring Creek USGS gage downstream of fish hatchery,,,,,40.8894000000,-77.7939000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962312199,Present Below Quantification Limit,,Selenium,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01145H,21PA_WQX,Selenium,,,,2022-01-13,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2468612/results/962312199/resdetectqntlmts,Lower Reporting Limit,4.00,ug/L,,2023-01-04T14:00:23,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2468537,Sample-Routine,Water,,2022-01-12,12:00:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC7,SPRING CREEK UPSTREAM OF CEDAR RUN,,,,,40.7928000000,-77.7983000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962459254,Present Below Quantification Limit,as P,Phosphorus,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00665A,21PA_WQX,Phosphorous,,,,2022-01-12,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2468537/results/962459254/resdetectqntlmts,Lower Reporting Limit,.01,mg/L,,2023-01-04T14:25:18,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2474091,Sample-Routine,Water,,2022-02-07,12:30:00,EST,,,EST,,,,,,,,,WQN,PA Surface Water Quality Monitoring Network,,21PA_WQX-WQN0415,SPRING CREEK,,,,,40.8900000000,-77.7942000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962347104,,,Barium,Total,43.00,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01007A,21PA_WQX,Barium,,,,2022-02-07,,,,,,,2023-01-04T14:06:16,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2503518,Sample-Routine,Water,,2022-07-19,13:23:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC3,SC3 Spring Creek between fish hatcheries,,,,,40.8608000000,-77.8064000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962385961,,,"Hardness, Ca, Mg",Total,279,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00900,21PA_WQX,Hardness,,,,2022-07-19,,,,,,,2023-01-04T14:12:04,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2508397,Sample-Routine,Water,,2022-08-17,08:13:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-LB1,LB1 Logan Branch downstream of hatchery,,,,,40.8917000000,-77.7642000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962382940,,,Osmotic pressure,,9,mosm/kg,,Final,,Actual,,,,,,,,,,,,,,,,,,,,82550,21PA_WQX,Osmotic Pressure,,,,2022-08-17,,,,,,,2023-01-04T14:11:38,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2503513,Sample-Routine,Water,,2022-07-19,09:18:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-LB1,LB1 Logan Branch downstream of hatchery,,,,,40.8917000000,-77.7642000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962373532,,,"Hardness, Ca, Mg",Total,302,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00900,21PA_WQX,Hardness,,,,2022-07-19,,,,,,,2023-01-04T14:10:10,STORET
